Outcome,Message,Identity,Delay,Symbol,StartDate,StartTime,EndDate,EndTime,Open,High,Low,Close,Average,Volume
Success,,Request,3.1132385,XAUUSD,12/01/2015,1:00:00 AM,12/01/2015,1:05:00 AM,1065.9,1066.06,1064.46,1064.9,1065.412,24
Success,,,0,XAUUSD,12/01/2015,1:05:00 AM,12/01/2015,1:10:00 AM,1064.5,1064.7,1063.84,1064.35,1064.352,23
Success,,,0,XAUUSD,12/01/2015,1:10:00 AM,12/01/2015,1:15:00 AM,1064.3,1065.2,1063.79,1065.2,1064.399,27
Success,,,0,XAUUSD,12/01/2015,1:15:00 AM,12/01/2015,1:20:00 AM,1064.85,1065.45,1064.85,1065.3,1065.269,27
Success,,,0,XAUUSD,12/01/2015,1:20:00 AM,12/01/2015,1:25:00 AM,1065.25,1065.3,1064.16,1064.9,1065.004,27
Success,,,0,XAUUSD,12/01/2015,1:25:00 AM,12/01/2015,1:30:00 AM,1064.95,1065.45,1064.63,1065.45,1065.09,24
Success,,,0,XAUUSD,12/01/2015,1:30:00 AM,12/01/2015,1:35:00 AM,1065.5,1066.8,1065.13,1066.45,1066.223,32
Success,,,0,XAUUSD,12/01/2015,1:35:00 AM,12/01/2015,1:40:00 AM,1066.4,1067.4,1066.01,1067.3,1066.89,31
Success,,,0,XAUUSD,12/01/2015,1:40:00 AM,12/01/2015,1:45:00 AM,1067.4,1069.8,1067.04,1069.25,1068.871,65
Success,,,0,XAUUSD,12/01/2015,1:45:00 AM,12/01/2015,1:50:00 AM,1069.9,1070.4,1067.86,1068.35,1069.229,66
Success,,,0,XAUUSD,12/01/2015,1:50:00 AM,12/01/2015,1:55:00 AM,1068.65,1069.5,1068.09,1069.1,1068.837,57
Success,,,0,XAUUSD,12/01/2015,1:55:00 AM,12/01/2015,2:00:00 AM,1069.2,1069.51,1068.72,1069.15,1069.227,58
Success,,,0,XAUUSD,12/01/2015,2:00:00 AM,12/01/2015,2:05:00 AM,1069.25,1069.45,1068.77,1069.45,1069.233,56
Success,,,0,XAUUSD,12/01/2015,2:05:00 AM,12/01/2015,2:10:00 AM,1069.25,1075.35,1068.86,1074.9,1071.672,54
Success,,,0,XAUUSD,12/01/2015,2:10:00 AM,12/01/2015,2:15:00 AM,1075.2,1075.49,1074.25,1075.3,1074.815,51
Success,,,0,XAUUSD,12/01/2015,2:15:00 AM,12/01/2015,2:20:00 AM,1075.45,1075.45,1073.95,1074.2,1074.918,56
Success,,,0,XAUUSD,12/01/2015,2:20:00 AM,12/01/2015,2:25:00 AM,1074.05,1074.15,1073.2,1073.35,1073.662,90
Success,,,0,XAUUSD,12/01/2015,2:25:00 AM,12/01/2015,2:30:00 AM,1073.65,1073.65,1072.19,1072.75,1072.856,102
Success,,,0,XAUUSD,12/01/2015,2:30:00 AM,12/01/2015,2:35:00 AM,1073.05,1074.05,1072.62,1073.45,1073.415,85
Success,,,0,XAUUSD,12/01/2015,2:35:00 AM,12/01/2015,2:40:00 AM,1073.35,1074.05,1072.9,1073.15,1073.469,83
Success,,,0,XAUUSD,12/01/2015,2:40:00 AM,12/01/2015,2:45:00 AM,1073.65,1073.65,1072.05,1072.45,1072.715,77
Success,,,0,XAUUSD,12/01/2015,2:45:00 AM,12/01/2015,2:50:00 AM,1072.45,1072.85,1070.88,1071.85,1072.174,88
Success,,,0,XAUUSD,12/01/2015,2:50:00 AM,12/01/2015,2:55:00 AM,1071.75,1072.05,1071.29,1071.65,1071.738,84
Success,,,0,XAUUSD,12/01/2015,2:55:00 AM,12/01/2015,3:00:00 AM,1072.05,1072.45,1071.65,1071.85,1072.083,85
Success,,,0,XAUUSD,12/01/2015,3:00:00 AM,12/01/2015,3:05:00 AM,1072.05,1072.45,1071.67,1072.05,1072.115,81
Success,,,0,XAUUSD,12/01/2015,3:05:00 AM,12/01/2015,3:10:00 AM,1072.15,1073.45,1072.15,1073.2,1072.812,86
Success,,,0,XAUUSD,12/01/2015,3:10:00 AM,12/01/2015,3:15:00 AM,1073.25,1073.45,1072.1,1072.65,1072.78,83
Success,,,0,XAUUSD,12/01/2015,3:15:00 AM,12/01/2015,3:20:00 AM,1072.85,1073.05,1072.3,1072.85,1072.686,79
Success,,,0,XAUUSD,12/01/2015,3:20:00 AM,12/01/2015,3:25:00 AM,1072.65,1072.85,1072.03,1072.45,1072.525,68
Success,,,0,XAUUSD,12/01/2015,3:25:00 AM,12/01/2015,3:30:00 AM,1072.35,1072.85,1072.21,1072.55,1072.617,66
Success,,,0,XAUUSD,12/01/2015,3:30:00 AM,12/01/2015,3:35:00 AM,1072.65,1073.25,1072.47,1073.05,1072.909,98
Success,,,0,XAUUSD,12/01/2015,3:35:00 AM,12/01/2015,3:40:00 AM,1072.95,1073.3,1072.55,1072.95,1072.972,84
Success,,,0,XAUUSD,12/01/2015,3:40:00 AM,12/01/2015,3:45:00 AM,1072.85,1073.05,1072.31,1072.65,1072.809,80
Success,,,0,XAUUSD,12/01/2015,3:45:00 AM,12/01/2015,3:50:00 AM,1072.85,1073.05,1072.27,1072.85,1072.747,84
Success,,,0,XAUUSD,12/01/2015,3:50:00 AM,12/01/2015,3:55:00 AM,1072.85,1073.05,1072.35,1072.85,1072.765,55
Success,,,0,XAUUSD,12/01/2015,3:55:00 AM,12/01/2015,4:00:00 AM,1072.85,1073.05,1072.39,1072.5,1072.791,78
Success,,,0,XAUUSD,12/01/2015,4:00:00 AM,12/01/2015,4:05:00 AM,1072.65,1072.85,1072.05,1072.35,1072.449,59
Success,,,0,XAUUSD,12/01/2015,4:05:00 AM,12/01/2015,4:10:00 AM,1072.3,1072.5,1072,1072.35,1072.346,31
Success,,,0,XAUUSD,12/01/2015,4:10:00 AM,12/01/2015,4:15:00 AM,1072.2,1072.4,1071.78,1072.1,1072.247,43
Success,,,0,XAUUSD,12/01/2015,4:15:00 AM,12/01/2015,4:20:00 AM,1071.85,1072,1071.18,1071.73,1071.6,79
